13:06:41.870351 [queue=1] packet #5, 127.0.0.1:8080 -> 127.0.0.1:49866, sz=24 is delayed for 4.4ms
13:06:41.875551 [queue=0] packet #5, 127.0.0.1:8080 -> 127.0.0.1:49866, sz=24 is delivered
13:06:41.876040 [queue=1] packet #6, 127.0.0.1:49882 -> 127.0.0.1:8080, sz=63 is delayed for 8.2ms
13:06:41.884458 [queue=0] packet #6, 127.0.0.1:49882 -> 127.0.0.1:8080, sz=63 is delivered
13:06:42.084002 [queue=1] packet #6, 127.0.0.1:8080 -> 127.0.0.1:49882, sz=394 is delayed for 2.4ms
13:06:42.086979 [queue=0] packet #6, 127.0.0.1:8080 -> 127.0.0.1:49882, sz=394 is delivered
13:06:42.087529 [queue=1] packet #7, 127.0.0.1:49882 -> 127.0.0.1:8080, sz=63 is delayed for 9.5ms
13:06:42.098231 [queue=0] packet #7, 127.0.0.1:49882 -> 127.0.0.1:8080, sz=63 is delivered
13:06:42.100244 [queue=1] packet #7, 127.0.0.1:8080 -> 127.0.0.1:49882, sz=424 is delayed for 5ms
13:06:42.106051 [queue=0] packet #7, 127.0.0.1:8080 -> 127.0.0.1:49882, sz=424 is delivered
13:06:42.106249 [queue=1] packet #8, 127.0.0.1:49882 -> 127.0.0.1:8080, sz=2 is delayed for 7.5ms
13:06:42.114818 [queue=0] packet #8, 127.0.0.1:49882 -> 127.0.0.1:8080, sz=2 is delivered
13:07:05.646036 config: drop-rate=0.70, max-delay=0s, seed=1703009225645923000
13:07:05.647654 router is listening at :3000
13:07:12.868564 [queue=0] packet #9, 127.0.0.1:54932 -> 127.0.0.1:8080, sz=24 is delivered
13:07:12.870655 [queue=0] packet #9, 127.0.0.1:8080 -> 127.0.0.1:54932, sz=24 is delivered
13:07:12.871205 [queue=0] packet #10, 127.0.0.1:54370 -> 127.0.0.1:8080, sz=48 is delivered
13:07:12.878217 [queue=0] packet #10, 127.0.0.1:8080 -> 127.0.0.1:54370, sz=207 is dropped
13:07:15.874109 [queue=0] packet #10, 127.0.0.1:54370 -> 127.0.0.1:8080, sz=48 is dropped
13:07:18.877059 [queue=0] packet #10, 127.0.0.1:54370 -> 127.0.0.1:8080, sz=48 is dropped
13:07:21.879168 [queue=0] packet #10, 127.0.0.1:54370 -> 127.0.0.1:8080, sz=48 is dropped
13:07:24.881311 [queue=0] packet #10, 127.0.0.1:54370 -> 127.0.0.1:8080, sz=48 is dropped
13:07:27.883353 [queue=0] packet #10, 127.0.0.1:54370 -> 127.0.0.1:8080, sz=48 is dropped
13:07:30.884965 [queue=0] packet #10, 127.0.0.1:54370 -> 127.0.0.1:8080, sz=48 is dropped
13:07:33.887255 [queue=0] packet #10, 127.0.0.1:54370 -> 127.0.0.1:8080, sz=48 is delivered
13:07:33.892817 [queue=0] packet #10, 127.0.0.1:8080 -> 127.0.0.1:54370, sz=207 is dropped
